Local_To_Overseas_Twinnings::pk_local_to_overseas_twinnings_ID,Local_To_Overseas_Twinnings::fk_localconference_ID,Local_To_Overseas_Twinnings::fk_overseasconference_ID,Local_To_Overseas_Twinnings::local_to_overseas_twinnings_ActiveFlag,Local_To_Overseas_Twinnings::----- U I  F I E L D S -----,Local_To_Overseas_Twinnings::c_UI_local_to_overseas_twinnings_GreenActive,Local_To_Overseas_Twinnings::c_UI_local_to_overseas_twinnings_RedInActive,Local_To_Overseas_Twinnings::----- L O O K  U P S -----,Local_To_Overseas_Twinnings::local_to_overseas_twinnings_Local_Conf_Name_LU,Local_To_Overseas_Twinnings::local_to_overseas_twinnings_Local_Conf_State_LU,Local_To_Overseas_Twinnings::local_to_overseas_twinnings_Local_Conf_DioCouncil_LU,Local_To_Overseas_Twinnings::local_to_overseas_twinnings_Local_Conf_RegionalCouncil_LU,Local_To_Overseas_Twinnings::local_to_overseas_twinnings_Local_Conf_Parish_LU,Local_To_Overseas_Twinnings::local_to_overseas_twinnings_Overseas_Conf_Name_LU,Local_To_Overseas_Twinnings::local_to_overseas_twinnings_Overseas_Conf_Country_LU
3411,101,109,,,,,,O.L. OF GOOD COUNSEL,,NORTHERN,SUNSHINE COAST,CALOUNDRA,ST MARY: KUNDANNUR,INDIA
5154,101,5999,,,,,,O.L. OF GOOD COUNSEL,,NORTHERN,SUNSHINE COAST,CALOUNDRA,ST JOSEPH: KANNARA,INDIA
3405,102,102,,,,,,ST GERARD MAJELLA,,NORTHERN,SUNSHINE COAST,MAROOCHYDORE,ST ANTHONY: VARADIYAM,INDIA
5177,102,6049,,,,,,ST GERARD MAJELLA,,NORTHERN,SUNSHINE COAST,MAROOCHYDORE,ST PETRUS: GORANG GARENG,INDONESIA
5594,102,6695,,,,,,ST GERARD MAJELLA,,NORTHERN,SUNSHINE COAST,MAROOCHYDORE,ST FRANCIS OF ASSISI: DHANJURI,BANGLADESH
,,,,,,,,,,,,,,
3408,105,105,,,,,,SACRED HEART,,NORTHERN,SUNSHINE COAST,MALENY,SACRED HEART: NADATHARA,INDIA
5595,105,6696,,,,,,SACRED HEART,,NORTHERN,SUNSHINE COAST,MALENY,ST JOSEPH: MARIAMPUR,BANGLADESH
3376,106,50,,,,,,STELLA MARIS,,NORTHERN,SUNSHINE COAST,MAROOCHYDORE,ST PATRICK: KASAULK,INDIA
5541,106,6636,,,,,,STELLA MARIS,,NORTHERN,SUNSHINE COAST,MAROOCHYDORE,ST ANTONY: SURANDAI,INDIA
3409,108,107,,,,,,ST PETER,,NORTHERN,SUNSHINE COAST,COOLUM,ST MARY: KOZHUKKULLY,INDIA
3410,108,108,,,,,,ST PETER,,NORTHERN,SUNSHINE COAST,COOLUM,ST MARY: VEENDASSERY,INDIA
3412,110,110,,,,,,HOLY NAME,,TOOWOOMBA,TOOWOOMBA,TOOWOOMBA,ST PETRUS : OSMOK,INDONESIA
3493,110,219,,,,,,HOLY NAME,,TOOWOOMBA,TOOWOOMBA,TOOWOOMBA,MARY IMMACULATE: ,PAKISTAN
3413,111,111,,,,,,ST JOSEPH,,NORTHERN,SUNSHINE COAST,NAMBOUR,ST MARY: ,INDIA
5164,111,6032,,,,,,ST JOSEPH,,NORTHERN,SUNSHINE COAST,NAMBOUR,GOOD SHEPHERD: AKAMPADAM,INDIA
3415,113,113,,,,,,ST JOSEPH,,NORTHERN,GYMPIE,GAYNDAH,ST JOSEPH: ,PAKISTAN
4975,113,5579,,,,,,ST JOSEPH,,NORTHERN,GYMPIE,GAYNDAH,ST FRANCOIS XAVIER: ,VANUATU
3418,116,116,,,,,,ST PATRICK,,NORTHERN,GYMPIE,GYMPIE,ST JOHN BOSCO: ,PAKISTAN
4973,116,5577,,,,,,ST PATRICK,,NORTHERN,GYMPIE,GYMPIE,LOUISE DE MARILLAC: ,VANUATU
5486,116,6543,,,,,,ST PATRICK,,NORTHERN,GYMPIE,GYMPIE,OUR LADY STAR OF THE SEA: TARAWA,KIRIBATI
3419,117,117,,,,,,O.L. OF DOLOURS,,NORTHERN,GYMPIE,YARRAMAN,ST THERESA OF CHILD JESUS: ,PAKISTAN
,,,,,,,,,,,,,,
3425,124,123,,,,,,ST JOSEPH,,NORTHERN,GYMPIE,CHILDERS,ST JOHN THE APOSTLE: ,PAKISTAN
,,,,,,,,,,,,,,
3430,128,128,,,,,,ST PIUS X,,SOUTHERN,ANNERLEY,SALISBURY,ST PAULUS (MIX): JEMBER,INDONESIA
